granularity,system,prefix,reference,prediction,topk_predictions,latency_ms,topk_hit,topk_rank,char_match,usefulness,first_word_match,semantic_sim,overlap
partial_word,qwen,The provided script functions properly. There was no e,rror,jection or explosion in the,"jection or explosion in the | jection of material, and | aster egg, no hidden | aster egg in it. | jection of anything. The",650.0120162963867,0,,0.0,0,,,
partial_word,frequency_baseline,The provided script functions properly. There was no e,rror,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,ngram_baseline,The provided script functions properly. There was no e,rror,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,random_baseline,The provided script functions properly. There was no e,rror,ll,ll | policy | run | available | pronunciation,0,0,,0.0,0,,,
partial_word,qwen,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",", I need to update",", I need to update | , when the user tried | , I have a question | , for the sake of | , there is a possibility",363.68775367736816,0,,0.0,2,,,
partial_word,frequency_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,ngram_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,random_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",product,product | be | social | want | intended,0,0,,0.0,1,,,
partial_word,qwen,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,ly clear. The script,"ly clear. The script | ly clear, and you | ly clear. It is | ly clear and is missing | ly clear, which can",334.25378799438477,0,,0.0,1,,,
partial_word,frequency_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,the,the | to | you | a | in,0,1,3,0.0,1,,,
partial_word,ngram_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,the,the | to | you | a | in,0,1,3,0.0,1,,,
partial_word,random_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,while,while | utilizes | beijing | voice | run,0,0,,0.0,1,,,
partial_word,qwen,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,bed into and you don,"bed into and you don | bed. So you are | bed. Please correct the | bed into. So, | bed. Can you please",382.0369243621826,0,,0.0,0,,,
partial_word,frequency_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,ngram_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,random_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,they,they | simulator | freezer | world | speaking,0,0,,0.0,0,,,
partial_word,qwen,Are there an,y, infinite number of numbers that, infinite number of numbers that |  infinite number of solutions to |  infinite number of real numbers,259.9949836730957,0,,0.0,1,,,
partial_word,frequency_baseline,Are there an,y,the,the | to | you | a | in,0,1,3,0.0,1,,,
partial_word,ngram_baseline,Are there an,y,the,the | to | you | a | in,0,1,3,0.0,1,,,
partial_word,random_baseline,Are there an,y,know,know | emotions | it | engineer | driving,0,0,,0.0,1,,,
partial_word,qwen,Are there any other NumPy function,s, that performs a similar operation, that performs a similar operation |  that might be useful for |  that can be used to |  that can be used for,279.8779010772705,0,,0.0,1,,,
partial_word,frequency_baseline,Are there any other NumPy function,s,the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,ngram_baseline,Are there any other NumPy function,s,the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,random_baseline,Are there any other NumPy function,s,engine,engine | all | intended | path | assistant,0,0,,0.0,1,,,
partial_word,qwen,Are there any other NumPy functions would help in comparing the act,ual,uarial data with a,"uarial data with a | iveness of a player, | uarial data with the | uation time of a binary | iveness of two variables to",272.5958824157715,0,,0.6666666666666666,2,,,
partial_word,frequency_baseline,Are there any other NumPy functions would help in comparing the act,ual,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,ngram_baseline,Are there any other NumPy functions would help in comparing the act,ual,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,random_baseline,Are there any other NumPy functions would help in comparing the act,ual,papers,papers | uhm | paradox | space | people,0,0,,0.0,0,,,
partial_word,qwen,Are there any other NumPy functions would help in comparing the actual outcomes to t,he, and s of a function," and s of a function | -scores?

Yes, | ailed probabilities?

I know | -test results?

For example | -test results? Also,",274.014949798584,0,,0.0,1,,,
partial_word,frequency_baseline,Are there any other NumPy functions would help in comparing the actual outcomes to t,he,the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,ngram_baseline,Are there any other NumPy functions would help in comparing the actual outcomes to t,he,the,the | to | you | a | in,0,0,,0.0,1,,,
partial_word,random_baseline,Are there any other NumPy functions would help in comparing the actual outcomes to t,he,remote,remote | then | that | did | rebuild,0,0,,0.0,0,,,
partial_word,qwen,Can you create a function in Javascr,ipt,pt that adds two numbers,pt that adds two numbers | pt that takes a string | pt that will take an | pt that multiplies two,251.60670280456543,0,,0.0,1,,,
partial_word,frequency_baseline,Can you create a function in Javascr,ipt,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,ngram_baseline,Can you create a function in Javascr,ipt,the,the | to | you | a | in,0,0,,0.0,0,,,
partial_word,random_baseline,Can you create a function in Javascr,ipt,let,let | abide | brake | at | normal,0,0,,0.0,0,,,
