granularity,system,prefix,reference,prediction,topk_predictions,latency_ms,topk_hit,topk_rank,char_match,usefulness,first_word_match,semantic_sim,overlap
partial_word,qwen,What w,ould,arring,arring | avenumber | axes,716.3050174713135,0,,0.0,0,,,
partial_word,frequency_baseline,What w,ould,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,ngram_baseline,What w,ould,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,random_baseline,What w,ould,speak,speak | intended | morality | rephrase | but,0,0,,0.0,0,,,
partial_word,qwen,What would m,ake,aven,aven | iscalculate | rs. | olarity | olar,441.8907165527344,0,,0.3333333333333333,0,,,
partial_word,frequency_baseline,What would m,ake,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,ngram_baseline,What would m,ake,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,random_baseline,What would m,ake,an,an | layman's | are | part | there,0,0,,0.3333333333333333,0,,,
partial_word,qwen,What would make a go,od,thic,thic | -to | th | on-romance,477.9179096221924,0,,0.0,1,,,
partial_word,frequency_baseline,What would make a go,od,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,ngram_baseline,What would make a go,od,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,random_baseline,What would make a go,od,plc,plc | gas | say | i | other,0,0,,0.0,1,,,
partial_word,qwen,What would make a good title fo,r,reshadowing,reshadowing,741.7621612548828,1,1,1.0,2,,,
partial_word,frequency_baseline,What would make a good title fo,r,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What would make a good title fo,r,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What would make a good title fo,r,car,car | out | page | there | one,0,0,,0.0,1,,,
partial_word,qwen,What would make a good title for th,e,ursday,"ursday | ursday's | omas, | ay",477.5850772857666,0,,0.0,1,,,
partial_word,frequency_baseline,What would make a good title for th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What would make a good title for th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What would make a good title for th,e,programs,programs | an | prolong | i | to,0,0,,0.0,1,,,
partial_word,qwen,What are s,ome,phenoids,"phenoids | yllogisms, | phenes | elenite, | yllogisms",606.0361862182617,0,,0.0,1,,,
partial_word,frequency_baseline,What are s,ome,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,ngram_baseline,What are s,ome,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,random_baseline,What are s,ome,isn't,isn't | he | life | vnc | effective,0,0,,0.0,0,,,
partial_word,qwen,What are some of the event,s,types四处,types四处 | types,414.0439033508301,0,,0.0,1,,,
partial_word,frequency_baseline,What are some of the event,s,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What are some of the event,s,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What are some of the event,s,different,different | part | important | ipad | have,0,0,,0.0,1,,,
partial_word,qwen,What are some of the events from around th,e,irties,irties | irties? | ursday | irteenth-century | roug,591.3240909576416,0,,0.0,1,,,
partial_word,frequency_baseline,What are some of the events from around th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What are some of the events from around th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What are some of the events from around th,e,be,be | could | such | remotely | space,0,0,,0.0,1,,,
partial_word,qwen,What are some of the events from around the world which wer,e,elove,elove | ren | ewolf | ewolves | ent,462.50009536743164,1,1,1.0,2,,,
partial_word,frequency_baseline,What are some of the events from around the world which wer,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What are some of the events from around the world which wer,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What are some of the events from around the world which wer,e,c,c | poorly | or | found | wheel,0,0,,0.0,1,,,
partial_word,qwen,What are some of the events from around the world which were inspired by th,e,yme?,"yme? | yme, | rones | iamine",427.00791358947754,0,,0.0,1,,,
partial_word,frequency_baseline,What are some of the events from around the world which were inspired by th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,What are some of the events from around the world which were inspired by th,e,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,What are some of the events from around the world which were inspired by th,e,brake,brake | fix | vnc | right | apologetic,0,0,,0.0,1,,,
partial_word,qwen,Interesting is there a,ny,formula,formula | different | pattern | difference | general,372.6658821105957,0,,0.0,0,,,
partial_word,frequency_baseline,Interesting is there a,ny,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,ngram_baseline,Interesting is there a,ny,to,to | the | a | in | i,0,0,,0.0,0,,,
partial_word,random_baseline,Interesting is there a,ny,dead,dead | scientific | case | control | would,0,0,,0.0,0,,,
partial_word,qwen,Interesting is there any other paradox th,at,...,... | ay | rougout,425.28390884399414,0,,0.0,0,,,
partial_word,frequency_baseline,Interesting is there any other paradox th,at,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,ngram_baseline,Interesting is there any other paradox th,at,to,to | the | a | in | i,0,0,,0.0,1,,,
partial_word,random_baseline,Interesting is there any other paradox th,at,general,general | isn't | application | computer | choice,0,0,,0.0,0,,,
partial_word,qwen,Interesting is there any other paradox that have no,t,solution,solution | solutions?,412.05286979675293,0,,0.0,1,,,
partial_word,frequency_baseline,Interesting is there any other paradox that have no,t,to,to | the | a | in | i,0,1,1,1.0,2,,,
partial_word,ngram_baseline,Interesting is there any other paradox that have no,t,just,just,0,0,,0.0,1,,,
