granularity,system,prefix,reference,prediction,latency_ms,char_match,usefulness,first_word_match,semantic_sim,overlap
partial_word,qwen,The provided script functions properly. There was no e,rror,jection of the object from,516.5729522705078,0.0,0,,,
partial_word,frequency_baseline,The provided script functions properly. There was no e,rror,the,0,0.0,0,,,
partial_word,ngram_baseline,The provided script functions properly. There was no e,rror,the,0,0.0,0,,,
partial_word,random_baseline,The provided script functions properly. There was no e,rror,open,0,0.0,0,,,
partial_word,qwen,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",", the user is reporting",280.06887435913086,0.0,2,,,
partial_word,frequency_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",the,0,0.0,1,,,
partial_word,ngram_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",the,0,0.0,1,,,
partial_word,random_baseline,The provided script functions properly. There was no error and everything worked straight out of the box. However,",",science,0,0.0,1,,,
partial_word,qwen,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,ly clear. Please provide,260.1480484008789,0.0,1,,,
partial_word,frequency_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,the,0,0.0,1,,,
partial_word,ngram_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,the,0,0.0,1,,,
partial_word,random_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirel",y,designers,0,0.0,1,,,
partial_word,qwen,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,"bed. So, the",259.8390579223633,0.0,0,,,
partial_word,frequency_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,the,0,0.0,0,,,
partial_word,ngram_baseline,"The provided script functions properly. There was no error and everything worked straight out of the box. However, your explanation of what the script is doing is not entirely correct. Actually all points are correct except point 3. Point 3 is completely unrelated to the script you have pro",vided.,the,0,0.0,0,,,
